Column1,Country,Year,Series,Value
Saint Kitts and Nevis1990,Saint Kitts and Nevis,1990,Primary energy production (petajoules),1
Saint Kitts and Nevis1995,Saint Kitts and Nevis,1995,Primary energy production (petajoules),1
Saint Kitts and Nevis2000,Saint Kitts and Nevis,2000,Primary energy production (petajoules),1
Saint Kitts and Nevis2005,Saint Kitts and Nevis,2005,Primary energy production (petajoules),1
Saint Kitts and Nevis2010,Saint Kitts and Nevis,2010,Primary energy production (petajoules),0
Saint Kitts and Nevis2013,Saint Kitts and Nevis,2013,Primary energy production (petajoules),0
Saint Kitts and Nevis2014,Saint Kitts and Nevis,2014,Primary energy production (petajoules),0
Saint Kitts and Nevis2015,Saint Kitts and Nevis,2015,Primary energy production (petajoules),0
Saint Kitts and Nevis1990,Saint Kitts and Nevis,1990,Net imports [Imports - Exports - Bunkers] (petajoules),2
Saint Kitts and Nevis1995,Saint Kitts and Nevis,1995,Net imports [Imports - Exports - Bunkers] (petajoules),2
Saint Kitts and Nevis2000,Saint Kitts and Nevis,2000,Net imports [Imports - Exports - Bunkers] (petajoules),3
Saint Kitts and Nevis2005,Saint Kitts and Nevis,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
Saint Kitts and Nevis2010,Saint Kitts and Nevis,2010,Net imports [Imports - Exports - Bunkers] (petajoules),3
Saint Kitts and Nevis2013,Saint Kitts and Nevis,2013,Net imports [Imports - Exports - Bunkers] (petajoules),3
Saint Kitts and Nevis2014,Saint Kitts and Nevis,2014,Net imports [Imports - Exports - Bunkers] (petajoules),3
Saint Kitts and Nevis2015,Saint Kitts and Nevis,2015,Net imports [Imports - Exports - Bunkers] (petajoules),4
Saint Kitts and Nevis1990,Saint Kitts and Nevis,1990,Total supply (petajoules),2
Saint Kitts and Nevis1995,Saint Kitts and Nevis,1995,Total supply (petajoules),2
Saint Kitts and Nevis2000,Saint Kitts and Nevis,2000,Total supply (petajoules),3
Saint Kitts and Nevis2005,Saint Kitts and Nevis,2005,Total supply (petajoules),3
Saint Kitts and Nevis2010,Saint Kitts and Nevis,2010,Total supply (petajoules),3
Saint Kitts and Nevis2013,Saint Kitts and Nevis,2013,Total supply (petajoules),3
Saint Kitts and Nevis2014,Saint Kitts and Nevis,2014,Total supply (petajoules),3
Saint Kitts and Nevis2015,Saint Kitts and Nevis,2015,Total supply (petajoules),3
Saint Kitts and Nevis1990,Saint Kitts and Nevis,1990,Supply per capita (gigajoules),53
Saint Kitts and Nevis1995,Saint Kitts and Nevis,1995,Supply per capita (gigajoules),56
Saint Kitts and Nevis2000,Saint Kitts and Nevis,2000,Supply per capita (gigajoules),63
Saint Kitts and Nevis2005,Saint Kitts and Nevis,2005,Supply per capita (gigajoules),67
Saint Kitts and Nevis2010,Saint Kitts and Nevis,2010,Supply per capita (gigajoules),61
Saint Kitts and Nevis2013,Saint Kitts and Nevis,2013,Supply per capita (gigajoules),59
Saint Kitts and Nevis2014,Saint Kitts and Nevis,2014,Supply per capita (gigajoules),60
Saint Kitts and Nevis2015,Saint Kitts and Nevis,2015,Supply per capita (gigajoules),60
Saint Lucia1990,Saint Lucia,1990,Primary energy production (petajoules),0
Saint Lucia1995,Saint Lucia,1995,Primary energy production (petajoules),0
Saint Lucia2000,Saint Lucia,2000,Primary energy production (petajoules),0
Saint Lucia2005,Saint Lucia,2005,Primary energy production (petajoules),0
Saint Lucia2010,Saint Lucia,2010,Primary energy production (petajoules),0
Saint Lucia2013,Saint Lucia,2013,Primary energy production (petajoules),0
Saint Lucia2014,Saint Lucia,2014,Primary energy production (petajoules),0
Saint Lucia2015,Saint Lucia,2015,Primary energy production (petajoules),0
Saint Lucia1990,Saint Lucia,1990,Net imports [Imports - Exports - Bunkers] (petajoules),2
Saint Lucia1995,Saint Lucia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
Saint Lucia2000,Saint Lucia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),5
Saint Lucia2005,Saint Lucia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6
Saint Lucia2010,Saint Lucia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),6
Saint Lucia2013,Saint Lucia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),6
Saint Lucia2014,Saint Lucia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),6
Saint Lucia2015,Saint Lucia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),6
Saint Lucia1990,Saint Lucia,1990,Total supply (petajoules),2
Saint Lucia1995,Saint Lucia,1995,Total supply (petajoules),5
Saint Lucia2000,Saint Lucia,2000,Total supply (petajoules),5
Saint Lucia2005,Saint Lucia,2005,Total supply (petajoules),5
Saint Lucia2010,Saint Lucia,2010,Total supply (petajoules),6
Saint Lucia2013,Saint Lucia,2013,Total supply (petajoules),6
Saint Lucia2014,Saint Lucia,2014,Total supply (petajoules),6
Saint Lucia2015,Saint Lucia,2015,Total supply (petajoules),6
Saint Lucia1990,Saint Lucia,1990,Supply per capita (gigajoules),18
Saint Lucia1995,Saint Lucia,1995,Supply per capita (gigajoules),31
Saint Lucia2000,Saint Lucia,2000,Supply per capita (gigajoules),31
Saint Lucia2005,Saint Lucia,2005,Supply per capita (gigajoules),33
Saint Lucia2010,Saint Lucia,2010,Supply per capita (gigajoules),33
Saint Lucia2013,Saint Lucia,2013,Supply per capita (gigajoules),33
Saint Lucia2014,Saint Lucia,2014,Supply per capita (gigajoules),33
Saint Lucia2015,Saint Lucia,2015,Supply per capita (gigajoules),33
Saint Pierre and Miquelon2000,Saint Pierre and Miquelon,2000,Primary energy production (petajoules),0
Saint Pierre and Miquelon2005,Saint Pierre and Miquelon,2005,Primary energy production (petajoules),0
Saint Pierre and Miquelon2010,Saint Pierre and Miquelon,2010,Primary energy production (petajoules),0
Saint Pierre and Miquelon2013,Saint Pierre and Miquelon,2013,Primary energy production (petajoules),0
Saint Pierre and Miquelon2014,Saint Pierre and Miquelon,2014,Primary energy production (petajoules),0
Saint Pierre and Miquelon2015,Saint Pierre and Miquelon,2015,Primary energy production (petajoules),0
Saint Pierre and Miquelon1990,Saint Pierre and Miquelon,1990,Net imports [Imports - Exports - Bunkers] (petajoules),2
Saint Pierre and Miquelon1995,Saint Pierre and Miquelon,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
Saint Pierre and Miquelon2000,Saint Pierre and Miquelon,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
Saint Pierre and Miquelon2005,Saint Pierre and Miquelon,2005,Net imports [Imports - Exports - Bunkers] (petajoules),1
Saint Pierre and Miquelon2010,Saint Pierre and Miquelon,2010,Net imports [Imports - Exports - Bunkers] (petajoules),1
Saint Pierre and Miquelon2013,Saint Pierre and Miquelon,2013,Net imports [Imports - Exports - Bunkers] (petajoules),1
Saint Pierre and Miquelon2014,Saint Pierre and Miquelon,2014,Net imports [Imports - Exports - Bunkers] (petajoules),1
Saint Pierre and Miquelon2015,Saint Pierre and Miquelon,2015,Net imports [Imports - Exports - Bunkers] (petajoules),1
Saint Pierre and Miquelon1990,Saint Pierre and Miquelon,1990,Total supply (petajoules),1
Saint Pierre and Miquelon1995,Saint Pierre and Miquelon,1995,Total supply (petajoules),1
Saint Pierre and Miquelon2000,Saint Pierre and Miquelon,2000,Total supply (petajoules),1
Saint Pierre and Miquelon2005,Saint Pierre and Miquelon,2005,Total supply (petajoules),1
Saint Pierre and Miquelon2010,Saint Pierre and Miquelon,2010,Total supply (petajoules),1
Saint Pierre and Miquelon2013,Saint Pierre and Miquelon,2013,Total supply (petajoules),1
Saint Pierre and Miquelon2014,Saint Pierre and Miquelon,2014,Total supply (petajoules),1
Saint Pierre and Miquelon2015,Saint Pierre and Miquelon,2015,Total supply (petajoules),1
Saint Pierre and Miquelon1990,Saint Pierre and Miquelon,1990,Supply per capita (gigajoules),206
Saint Pierre and Miquelon1995,Saint Pierre and Miquelon,1995,Supply per capita (gigajoules),164
Saint Pierre and Miquelon2000,Saint Pierre and Miquelon,2000,Supply per capita (gigajoules),125
Saint Pierre and Miquelon2005,Saint Pierre and Miquelon,2005,Supply per capita (gigajoules),149
Saint Pierre and Miquelon2010,Saint Pierre and Miquelon,2010,Supply per capita (gigajoules),160
Saint Pierre and Miquelon2013,Saint Pierre and Miquelon,2013,Supply per capita (gigajoules),163
Saint Pierre and Miquelon2014,Saint Pierre and Miquelon,2014,Supply per capita (gigajoules),175
Saint Pierre and Miquelon2015,Saint Pierre and Miquelon,2015,Supply per capita (gigajoules),175
Saint Vincent & Grenadines1990,Saint Vincent & Grenadines,1990,Primary energy production (petajoules),0
Saint Vincent & Grenadines1995,Saint Vincent & Grenadines,1995,Primary energy production (petajoules),0
Saint Vincent & Grenadines2000,Saint Vincent & Grenadines,2000,Primary energy production (petajoules),0
Saint Vincent & Grenadines2005,Saint Vincent & Grenadines,2005,Primary energy production (petajoules),0
Saint Vincent & Grenadines2010,Saint Vincent & Grenadines,2010,Primary energy production (petajoules),0
Saint Vincent & Grenadines2013,Saint Vincent & Grenadines,2013,Primary energy production (petajoules),0
Saint Vincent & Grenadines2014,Saint Vincent & Grenadines,2014,Primary energy production (petajoules),0
Saint Vincent & Grenadines2015,Saint Vincent & Grenadines,2015,Primary energy production (petajoules),0
Saint Vincent & Grenadines1990,Saint Vincent & Grenadines,1990,Net imports [Imports - Exports - Bunkers] (petajoules),1
Saint Vincent & Grenadines1995,Saint Vincent & Grenadines,1995,Net imports [Imports - Exports - Bunkers] (petajoules),2
Saint Vincent & Grenadines2000,Saint Vincent & Grenadines,2000,Net imports [Imports - Exports - Bunkers] (petajoules),2
Saint Vincent & Grenadines2005,Saint Vincent & Grenadines,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
Saint Vincent & Grenadines2010,Saint Vincent & Grenadines,2010,Net imports [Imports - Exports - Bunkers] (petajoules),3
Saint Vincent & Grenadines2013,Saint Vincent & Grenadines,2013,Net imports [Imports - Exports - Bunkers] (petajoules),3
Saint Vincent & Grenadines2014,Saint Vincent & Grenadines,2014,Net imports [Imports - Exports - Bunkers] (petajoules),3
Saint Vincent & Grenadines2015,Saint Vincent & Grenadines,2015,Net imports [Imports - Exports - Bunkers] (petajoules),3
Saint Vincent & Grenadines1990,Saint Vincent & Grenadines,1990,Total supply (petajoules),1
Saint Vincent & Grenadines1995,Saint Vincent & Grenadines,1995,Total supply (petajoules),2
Saint Vincent & Grenadines2000,Saint Vincent & Grenadines,2000,Total supply (petajoules),2
Saint Vincent & Grenadines2005,Saint Vincent & Grenadines,2005,Total supply (petajoules),3
Saint Vincent & Grenadines2010,Saint Vincent & Grenadines,2010,Total supply (petajoules),3
Saint Vincent & Grenadines2013,Saint Vincent & Grenadines,2013,Total supply (petajoules),3
Saint Vincent & Grenadines2014,Saint Vincent & Grenadines,2014,Total supply (petajoules),3
Saint Vincent & Grenadines2015,Saint Vincent & Grenadines,2015,Total supply (petajoules),3
Saint Vincent & Grenadines1990,Saint Vincent & Grenadines,1990,Supply per capita (gigajoules),12
Saint Vincent & Grenadines1995,Saint Vincent & Grenadines,1995,Supply per capita (gigajoules),19
Saint Vincent & Grenadines2000,Saint Vincent & Grenadines,2000,Supply per capita (gigajoules),21
Saint Vincent & Grenadines2005,Saint Vincent & Grenadines,2005,Supply per capita (gigajoules),31
Saint Vincent & Grenadines2010,Saint Vincent & Grenadines,2010,Supply per capita (gigajoules),31
Saint Vincent & Grenadines2013,Saint Vincent & Grenadines,2013,Supply per capita (gigajoules),29
Saint Vincent & Grenadines2014,Saint Vincent & Grenadines,2014,Supply per capita (gigajoules),30
Saint Vincent & Grenadines2015,Saint Vincent & Grenadines,2015,Supply per capita (gigajoules),31
Samoa1990,Samoa,1990,Primary energy production (petajoules),1
Samoa1995,Samoa,1995,Primary energy production (petajoules),1
Samoa2000,Samoa,2000,Primary energy production (petajoules),1
Samoa2005,Samoa,2005,Primary energy production (petajoules),2
Samoa2010,Samoa,2010,Primary energy production (petajoules),2
Samoa2013,Samoa,2013,Primary energy production (petajoules),2
Samoa2014,Samoa,2014,Primary energy production (petajoules),2
Samoa2015,Samoa,2015,Primary energy production (petajoules),1
Samoa1990,Samoa,1990,Net imports [Imports - Exports - Bunkers] (petajoules),2
Samoa1995,Samoa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),2
Samoa2000,Samoa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),2
Samoa2005,Samoa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
Samoa2010,Samoa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),3
Samoa2013,Samoa,2013,Net imports [Imports - Exports - Bunkers] (petajoules),3
Samoa2014,Samoa,2014,Net imports [Imports - Exports - Bunkers] (petajoules),3
Samoa2015,Samoa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),4
Samoa2010,Samoa,2010,Changes in stocks (petajoules),0
Samoa2013,Samoa,2013,Changes in stocks (petajoules),0
Samoa1990,Samoa,1990,Total supply (petajoules),3
Samoa1995,Samoa,1995,Total supply (petajoules),3
Samoa2000,Samoa,2000,Total supply (petajoules),3
Samoa2005,Samoa,2005,Total supply (petajoules),4
Samoa2010,Samoa,2010,Total supply (petajoules),5
Samoa2013,Samoa,2013,Total supply (petajoules),5
Samoa2014,Samoa,2014,Total supply (petajoules),5
Samoa2015,Samoa,2015,Total supply (petajoules),6
Samoa1990,Samoa,1990,Supply per capita (gigajoules),16
Samoa1995,Samoa,1995,Supply per capita (gigajoules),17
Samoa2000,Samoa,2000,Supply per capita (gigajoules),19
Samoa2005,Samoa,2005,Supply per capita (gigajoules),21
Samoa2010,Samoa,2010,Supply per capita (gigajoules),24
Samoa2013,Samoa,2013,Supply per capita (gigajoules),24
Samoa2014,Samoa,2014,Supply per capita (gigajoules),24
Samoa2015,Samoa,2015,Supply per capita (gigajoules),29
Sao Tome and Principe1990,Sao Tome and Principe,1990,Primary energy production (petajoules),1
Sao Tome and Principe1995,Sao Tome and Principe,1995,Primary energy production (petajoules),1
Sao Tome and Principe2000,Sao Tome and Principe,2000,Primary energy production (petajoules),1
Sao Tome and Principe2005,Sao Tome and Principe,2005,Primary energy production (petajoules),1
Sao Tome and Principe2010,Sao Tome and Principe,2010,Primary energy production (petajoules),1
Sao Tome and Principe2013,Sao Tome and Principe,2013,Primary energy production (petajoules),1
Sao Tome and Principe2014,Sao Tome and Principe,2014,Primary energy production (petajoules),1
Sao Tome and Principe2015,Sao Tome and Principe,2015,Primary energy production (petajoules),1
Sao Tome and Principe1990,Sao Tome and Principe,1990,Net imports [Imports - Exports - Bunkers] (petajoules),1
Sao Tome and Principe1995,Sao Tome and Principe,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
Sao Tome and Principe2000,Sao Tome and Principe,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
